title,industry,release_year,imdb_rating,studio,language,unit2,FINAL REV,FINAL BUG,Currency2
Pather Panchali,Bollywood,1955,8.3,Government of West Bengal,Bengali,Thousandss,100000,70000,INR
Doctor Strange in the Multiverse of Madness,Hollywood,2022,7,Marvel Studios,English,Thousands,90152216,18888000,INR
Thor: The Dark World ,Hollywood,2013,6.8,Marvel Studios,English,Thousands,60882016,15582600,INR
Thor: Ragnarok ,Hollywood,2017,7.9,Marvel Studios,English,Thousands,80634680,16999200,INR
Thor: Love and Thunder ,Hollywood,2022,6.8,Marvel Studios,English,Thousands,63261400,23610000,INR
The Shawshank Redemption,Hollywood,1994,9.3,Castle Rock Entertainment,English,Thousands,6920986,2361000,INR
Interstellar,Hollywood,2014,8.6,Warner Bros. Pictures,English,Thousands,66263956,15582600,INR
The Pursuit of Happyness,Hollywood,2006,8,Columbia Pictures,English,Thousands,28996382,5194200,INR
Gladiator,Hollywood,2000,8.5,Universal Pictures  ,English,Thousands,43480410,9727320,INR
Titanic,Hollywood,1997,7.9,Paramount Pictures,English,Thousands,207912840,18888000,INR
It's a Wonderful Life,Hollywood,1946,8.6,Liberty Films,English,Thousands,311586,300319.2,INR
Avatar,Hollywood,2009,7.8,20th Century Fox,English,Thousands,268813740,22382280,INR
The Godfather,Hollywood,1972,9.2,Paramount Pictures,English,Thousands,27476220,679968,INR
The Dark Knight,Hollywood,2008,9,Syncopy,English,Thousands,94986520,17471400,INR
Schindler's List,Hollywood,1993,9,Universal Pictures,English,Thousands,30422124,2077680,INR
Jurassic Park,Hollywood,1993,8.2,Universal Pictures,English,Thousands,98763320,5949720,INR
Parasite,Hollywood,2019,8.5,,English,Thousands,24841902,1463820,INR
Avengers: Endgame,Hollywood,2019,8.4,Marvel Studios,English,Thousands,264187160,37776000,INR
Avengers: Infinity War,Hollywood,2018,8.4,Marvel Studios,English,Thousands,193372160,37776000,INR
Captain America: The First Avenger,Hollywood,2011,6.9,Marvel Studios,English,Thousands,34992052,20465148,INR
Captain America: The Winter Soldier,Hollywood,2014,7.8,Marvel Studios,English,Thousands,67453648,16715880,INR
Dilwale Dulhania Le Jayenge,Bollywood,1995,8,Yash Raj Films,Hindi,Thousands,2000000,400000,INR
3 Idiots,Bollywood,2009,8.4,Vinod Chopra Films,Hindi,Thousands,4000000,550000,INR
Kabhi Khushi Kabhie Gham,Bollywood,2001,7.4,Dharma Productions,Hindi,Thousands,1360000,390000,INR
Bajirao Mastani ,Bollywood,2015,7.2,,Hindi,Thousands,3500000,1400000,INR
Taare Zameen Par,Bollywood,2007,8.3,,Hindi,Thousands,1350000,120000,INR
Munna Bhai M.B.B.S.,Bollywood,2003,8.1,Vinod Chopra Productions,Hindi,Thousands,410000,100000,INR
PK,Bollywood,2014,8.1,Vinod Chopra Films,Hindi,Thousands,8540000,850000,INR
Sanju,Bollywood,2018,NULL,Vinod Chopra Films,Hindi,Thousands,5900000,1000000,INR
The Kashmir Files,Bollywood,2022,8.3,Zee Studios,Hindi,Thousands,3409000,250000,INR
Bajrangi Bhaijaan,Bollywood,2015,8.1,Salman Khan Films,Hindi,Thousands,11690000,900000,INR
Race 3,Bollywood,2018,1.9,Salman Khan Films,Hindi,Thousands,3100000,1800000,INR
Shershaah,Bollywood,2021,8.4,Dharma Productions,Hindi,Thousands,950000,500000,INR
K.G.F: Chapter 2,Bollywood,2022,8.4,Hombale Films,Kannada,Thousands,12500000,1000000,INR
Pushpa: The Rise - Part 1,Bollywood,2021,7.6,Mythri Movie Makers,Telugu,Thousands,3600000,2000000,INR
RRR,Bollywood,2022,8,DVV Entertainment,Telugu,Thousands,12000000,5500000,INR
Baahubali: The Beginning,Bollywood,2015,8,Arka Media Works,Telugu,Thousands,6500000,1800000,INR
